product_name,completed_ratio
"Astra Without",0.5
"GreenLeaf Reduce",0.75
"NeoTech Writer",0.45
"Acme Radio",0.1
"NeoTech Provide",0.71
"Solace Actually",0.62
"Astra Congress",0.43
"Astra Book",0.38
"Zenith Like",0.6
"Solace Environmental",0.45
"NeoTech Information",0.6
"Zenith Foreign",0.7
"GreenLeaf Measure",0.54
"Harbor Would",0.6
"Everest According",0.62
"Orion Well",0.55
"Everest End",0.38
"Zenith Friend",0.56
"Orion However",0.29
"NeoTech Interesting",0.38
"Acme Think",0.38
"Acme Practice",0.55
"Orion Size",0.36
"Willow Bit",0.44
"NeoTech Turn",0.78
"Willow Remain",0.62
"Astra Speak",0.33
"Solace Most",0.62
"Orion Pm",0.5
"NeoTech Yourself",0.33
"Solace Serve",0.57
"Willow Result",0.6
"GreenLeaf Land",0.5
"Zenith Appear",0.56
"Orion Begin",0.7
"Pulse Letter",0.75
"Orion Response",0.29
"Orion Strategy",0.4
"Pulse Indeed",0.27
"Pulse For",0.5
"Zenith Guy",0.83
"GreenLeaf Reflect",0.38
"Nimbus When",0.67
"GreenLeaf Lead",0.38
"Nimbus Want",0.4
"Pulse Weight",0.44
"Solace Democratic",0.67
"Harbor Hear",0.5
"Everest Rock",0.62
"Astra Buy",0.67
"Acme Discuss",0.3
"Acme Surface",0.42
"GreenLeaf Newspaper",0.4
"Zenith Nation",0.5
"Acme Figure",0.73
"Acme Arrive",0.44
"Pulse Seem",0.57
"GreenLeaf Bill",0.6
"Pulse Against",0.33
"Zenith Black",0.6
"Acme Night",0.5
"Solace Resource",0.75
"NeoTech Clearly",0.78
"Willow Early",0.56
"Zenith Firm",0.5
"Astra Herself",0.56
"Everest Republican",0.5
"GreenLeaf Produce",0.12
"Harbor Describe",0.5
"Zenith Without",0.64
"Nimbus Raise",0.45
"Acme When",0.62
"Pulse Six",0.7
"Acme Memory",0.7
"Zenith Citizen",0.78
"Orion Moment",0.45
"NeoTech Great",0.31
"Harbor Case",0.27
"Astra Process",0.38
"Willow Forget",0.5
"Harbor Onto",0.44
"Zenith Investment",0.43
"GreenLeaf Major",0.45
"Everest Even",0.78
"Pulse Determine",0.44
"GreenLeaf Own",0.57
"GreenLeaf Interview",0.5
"Zenith Page",0.5
"Astra Finally",0.78
"Acme Wait",0.83
"Harbor Thought",0.55
"Everest Response",0.57
"Nimbus South",0.44
"Acme Group",0
"Orion Vote",0.5
"Solace Never",0.33
"Solace Easy",0.36
"Willow Spring",0.62
"Willow Eye",0.53
"Everest Read",0.55
"Acme Popular",0.67
"Willow Student",0.38
"Nimbus Last",0.57
"Astra Agree",0.62
"Harbor Size",0.44
"Nimbus Our",0.21
"NeoTech Write",0.44
"Harbor Forward",0.55
"Harbor Audience",0.83
"Willow Dark",0.5
"Pulse Reveal",0.71
"Everest Yes",0.5
"NeoTech Food",0.67
"Harbor Foreign",0.71
"Pulse Security",0.33
"Nimbus Sell",0.71
"Acme Room",0.5
"Everest Choose",0.33
"Solace Institution",0.38
"Orion Gas",0.44
"Acme Of",0.64
"Nimbus Affect",0.75
"Acme Financial",0.67
"NeoTech Personal",0.14
"NeoTech Person",0.33
"GreenLeaf Its",0.4
"Solace People",0.55
"Zenith Control",0.57
"Acme Him",0.62
"Astra Remain",0.38
"Nimbus Where",0.69
"NeoTech Leader",0.43
"Everest Single",0.7
"Everest Stop",0.6
"Astra Strong",0.64
"Astra Might",0.38
"Harbor Reflect",0.75
"Willow Amount",0.57
"Solace Carry",0.67
"Willow Turn",0.33
"Everest Drive",0.38
"Nimbus Memory",0.38
"Orion Clearly",0.62
"Zenith Stay",0.25
"Everest Indicate",0.4
"Astra Present",0.5
"Astra Community",0.44
"GreenLeaf Spring",0.33
"Willow World",0.83
"NeoTech Someone",0.2
"Solace Tv",0.38
"Harbor Suggest",0.47
"Pulse Manage",0.29
"Willow Charge",0.69
"Orion Painting",0.23
"Astra Last",0.33
"Harbor Agree",0.67
"Solace Other",0.75
"Acme Then",0.23
"Astra Who",0.73
"Harbor Which",0.56
"GreenLeaf Likely",0.5
"Orion Up",0.71
"NeoTech Practice",0.67
"Zenith Result",0.75
"Willow Go",0.67
"Acme Must",0.83
"Nimbus Minute",0.55
"Acme Black",0.75
"Acme Off",0.33
"NeoTech Our",0.64
"Acme Together",0.45
"Acme Military",0.5
"Willow Evening",0.71
"Astra Support",0.42
"Harbor Necessary",0.2
"Solace Section",0.33
"Zenith Partner",0.62
"Solace Commercial",0.4
"Nimbus From",0.67
"Acme Cause",0.62
"Zenith Natural",0.33
"Willow Cost",0.45
"GreenLeaf Character",0.83
"Everest Team",0.36
"Willow Their",0.3
"Solace Leave",0.8
"Astra Study",0.56
"Astra Tend",0.75
"GreenLeaf List",0.62
"Astra Visit",1
"Zenith Dog",0.5
"Harbor Since",0.58
"Orion Firm",0.46
"Zenith Movie",0.83
"GreenLeaf Study",0.75
"Orion Itself",0.6
"Harbor Third",0.33
"Pulse Baby",0.43
"Pulse Attention",0.57
"Acme Majority",0.7
"Zenith Begin",0.6
"Willow Recent",0.25
"GreenLeaf Pull",0.75
"Orion Give",0.62
"Willow Officer",0
"Zenith Need",0.4
"Solace Support",0.22
"Acme Chance",0.88
"Nimbus Word",0.67
"Astra Animal",0.43
"NeoTech Several",0.78
"Everest Interesting",0.57
"NeoTech Hope",0.5
"Astra Reveal",0.31
"Acme Drug",0.67
"GreenLeaf Glass",0.53
"Harbor Discuss",0.2
"Astra City",0.75
"Willow Agree",0.71
"Willow Seem",0.25
"Nimbus Camera",0.5
"Willow Cell",0.46
"Solace Everyone",0.5
"Nimbus Imagine",0.45
"Willow Discuss",0.56
"NeoTech Property",0.83
"Orion Take",0.12
"Harbor Much",0.67
"Orion Total",0.45
"Zenith Treatment",0.25
"GreenLeaf Improve",0.86
"Harbor Draw",1
"Nimbus More",0.38
"Nimbus Family",0.22
"Pulse Third",0.64
"Nimbus Enough",0.25
"Willow Her",0.4
"Orion Owner",0.5
"Harbor Bill",0.5
"Orion Their",0.29
"Acme Store",0.33
"Zenith View",0.82
"Acme Support",0.57
"Solace Create",0.44
"Harbor Beat",0.3
"Willow Study",0.38
"Orion Thus",0.6
"Acme Boy",0.71
"GreenLeaf Item",0.46
"Nimbus Garden",0.4
"Astra Remain",0.64
"Astra Happen",0.4
"Willow Let",0.6
"Zenith Case",0.38
"Pulse Worry",0.5
"Zenith Rise",0.38
"NeoTech Everybody",0.75
"NeoTech Although",0.67
"Acme It",0.67
"Solace Time",0.38
"Zenith Skin",0.44
"Pulse Major",0.33
"Orion Push",0.62
"Orion Miss",0.44
"Nimbus Control",0.6
"Pulse Range",0.22
"Solace Share",0.33
"Astra Small",0.45
"NeoTech Song",0.5
"Orion Like",0.62
"Solace Personal",0.6
"GreenLeaf Even",0.44
"Harbor Authority",0.25
"Everest Late",0.22
"Orion Most",0.64
"GreenLeaf List",0.5
"NeoTech Identify",0.5
"GreenLeaf Throughout",0.25
"Nimbus Wish",0.4
"NeoTech These",0.83
"Solace Small",0.8
"Zenith Building",0.38
"Zenith Mr",0.58
"Acme Process",0.5
"NeoTech Hair",0.6
"Acme Such",0.9
"Zenith Husband",0.56
"Nimbus Seven",0.38
"Nimbus Military",0.58
"NeoTech Score",0.57
"Everest May",0.75
"Zenith Might",0.57
"Nimbus Hospital",0.62
"Everest Cultural",0.57
"Harbor Other",0.8
"Nimbus Figure",0.44
"GreenLeaf Significant",0.6
"Orion Debate",0.43
"Zenith Society",0.25
"Harbor Seek",1
"Orion Such",0.33
"Zenith Garden",0.55
"Solace Change",0.43
"Astra Future",0.69
"GreenLeaf End",0.73
"Zenith Study",0.42
"Pulse Claim",0.4
"NeoTech Commercial",0.33
"Orion Coach",0.58
"NeoTech Center",0.86
"Solace Throw",0.33
"Nimbus Only",0.33
"Pulse A",0.29
"Acme Road",0.3
"Everest Fire",0.62
"Orion Risk",0.67
"Pulse Bad",0.5
"Astra Test",0.8
"NeoTech Possible",0.3
"Nimbus Stage",0.67
"Acme Figure",0.33
"Astra Well",0.9
"Harbor Forget",0.6
"GreenLeaf Fight",0.5
"Astra Style",0.44
"Nimbus Knowledge",0.73
"Orion Sign",0.29
"GreenLeaf Save",0.36
"Everest Truth",0.6
"Nimbus Maintain",0.46
"Acme Sense",0.4
"Pulse The",0.4
"Everest Line",0.6
"Nimbus Report",0.69
"Pulse Mr",0.4
"Harbor Who",0.33
"Zenith Need",0.5
"Solace Close",0.36
"Willow Message",0.53
"Harbor Eat",0.67
"NeoTech Network",0.57
"Harbor Crime",0.7
"Nimbus Unit",0.43
"Everest International",0.62
"Acme Information",0.83
"Orion Film",0.5
"Acme Best",0.67
"Harbor Cost",0.56
"Everest It",0.4
"Nimbus Girl",0.38
"Everest In",0.56
"Astra Particularly",0.5
"Harbor Main",0.55
"Orion Page",0.71
"Astra Measure",0.58
"Acme Subject",0.69
"Zenith Behavior",0.4
"Orion Television",0.5
"Harbor Will",0.27
"Pulse Sea",0.33
"Solace Member",0.22
"Pulse Set",0.6
"Pulse Guy",0.62
"Willow Report",0.55
"Astra Can",0.58
"NeoTech Imagine",0.29
"NeoTech More",0.56
"Acme Book",0.5
"Nimbus Head",0.7
"NeoTech Style",0.5
"Orion Off",0.33
"Zenith Memory",0.45
"NeoTech Outside",0.3
"GreenLeaf Name",0.43
"Harbor Student",0.6
"Acme Behavior",0.6
"GreenLeaf Reveal",0.14
"Everest Stock",0.45
"NeoTech Truth",0.73
"Willow Walk",0.36
"Everest Parent",0.4
"Nimbus See",0.57
"Nimbus Computer",0.75
"Acme Coach",0.5
"Solace Particular",0.47
"NeoTech Ask",0.64
"Acme Room",0.56
"NeoTech Second",0.44
"Everest Particularly",0.33
"Nimbus Everything",0.5
"Pulse Near",0.69
"Solace Hundred",0.44
"Nimbus Approach",0.29
"Everest Side",0.33
"Harbor National",0.4
"Everest Minute",0.67
"NeoTech Direction",0.45
"Everest Miss",0.14
"Astra Another",0.45
"NeoTech Collection",0.46
"Harbor Recent",0.57
"Nimbus Knowledge",0.56
"Everest Now",0.54
"Acme Option",0.56
"Pulse Direction",0.33
"Acme Live",0.55
"Harbor Himself",0.43
"GreenLeaf Score",0.43
"Willow Peace",0.82
"Pulse Down",0.78
"Astra Sometimes",0.36
"Nimbus Top",0.75
"Pulse Money",0.45
"Solace Guy",0.55
"Harbor Those",0.5
"Orion Fund",0.5
"Everest Some",0.42
"Willow Mean",0.54
"GreenLeaf Realize",0.5
"GreenLeaf Say",0.86
"Orion Manage",0.43
"Pulse Else",0.36
"Willow Place",0.67
"Acme Blood",0.5
"GreenLeaf Push",0.42
"Willow Value",0.33
"Pulse Can",0.5
"Astra Key",0.5
"Astra Pull",0.33
"NeoTech Professor",0.57
"Orion Network",0.57
"Solace Cell",0.36
"Acme Traditional",0.54
"Solace Well",0.33
"Solace Through",0.33
"GreenLeaf Computer",0.2
"Nimbus You",0.17
"Astra Question",0.56
"Willow We",0.44
"Pulse Race",0.17
"Everest Reality",0.3
"Pulse Paper",0.22
"NeoTech In",0.4
"Pulse Production",0.44
"Orion Style",0.6
"NeoTech Security",0.42
"Acme Common",0.25
"Acme Institution",0.36
"NeoTech Develop",0.55
"Willow A",0.3
"Willow Court",0.55
"Willow Only",0.46
"Solace Scene",0.64
"Zenith Believe",0.4
"Solace Professional",0.5
"Everest She",0.47
"Acme Factor",0.2
"Everest Friend",0.14
"Willow Military",0.4
"Willow Wind",0.38
"Nimbus Somebody",0.58
"GreenLeaf Day",0.57
"GreenLeaf Feel",0.67
"Astra Compare",0
"Nimbus Morning",0.91
"Willow Fall",0.5
"Zenith Leader",0.71
"Pulse Surface",0.53
"Solace Growth",0.5
"Zenith World",0.75
"Astra Take",0.6
"Pulse Understand",0.29
"Astra Season",0.44
"Willow Treatment",0.23
"Harbor Fire",0.5
"Pulse Would",0.8
"Everest She",0.4
"Willow Even",0.33
"NeoTech Guess",0.55
"Astra Bill",0.38
"Harbor Pick",0.64
"Harbor Against",0.6
"Nimbus Hold",0.5
"Solace So",0.38
"Astra Expect",0.5
"Pulse Few",0.67
"Astra Dream",0.33
"Nimbus Return",0.45
"Solace Move",0.64
"Solace Color",0.4
"Acme Theory",0.45
"Pulse But",0.57
"Nimbus Whose",0.33
"Everest Mrs",0.6
"Acme Improve",0.4
"Zenith Wait",0.75
"Zenith While",0.56
"Harbor Able",0.5
"Everest Drop",0.75
"Pulse Group",0.86
"Acme Here",0.5
"NeoTech Girl",0.44
"Harbor Vote",0.46
"Nimbus Level",0.43
"Nimbus Investment",0.55
"Harbor Natural",0.44
"Zenith Environmental",0.67
"Everest Sell",0.56
"GreenLeaf Happen",0.5
"Astra Where",0.78
"Zenith Performance",0.86
"Solace Street",0.59
"GreenLeaf Opportunity",0.3
"Astra Tough",0.38
"Orion Make",0.4
"Harbor Two",0.6
"Acme Show",0.3
"Harbor Eye",0.3
"Acme Two",0.57
"Harbor Act",0.78
"Solace Top",0.5
"Nimbus Wrong",0.67
"Zenith About",0
"Pulse Soon",0.62
"Pulse Kitchen",0
"NeoTech Able",0.4
"Orion Range",0.47
"Zenith White",0.67
"Astra Receive",0.55
"NeoTech Reveal",0.67
"Orion Theory",0.62
"NeoTech Make",0.67
"Solace Down",0.4
"Everest Great",0.44
"Orion Race",0.38
"NeoTech Standard",0.5
"Acme Type",0.64
"Astra This",0.43
"Nimbus Many",0.29
"Orion Daughter",0.64
"Everest National",0.38
"Everest Own",0.7
"Acme Mention",0.73
"Willow Group",0.71
"Nimbus Stay",0.43
"Willow Plant",0.4
"Astra Hear",0.64
"Solace Interesting",0.33
"Willow May",0.5
"Everest Else",0.71
"Zenith Turn",0.67
"Solace Particular",0.42
"Zenith War",0.67
"NeoTech Admit",0.43
"NeoTech Plant",0.38
"Everest Few",0.55
"NeoTech A",0.67
"Acme Push",0.33
"Acme Whether",0.45
"Harbor By",0.69
"Astra Next",0.58
"Astra Lose",0.64
"Pulse Pass",0.17
"Orion Face",0.44
"Nimbus Little",0.43
"Harbor Much",0.5
"Everest Benefit",0.4
"Solace Activity",0.47
"NeoTech Body",0.47
"Everest So",0.58
"Zenith Road",0.73
"Solace Situation",0.64
"GreenLeaf Deal",0.78
"Harbor Together",0
"GreenLeaf Student",0.4
"Zenith Conference",0.38
"Everest Really",0.2
"GreenLeaf Simply",0.5
"Zenith Strong",0.3
"GreenLeaf Know",0.38
"Acme Democratic",0.42
"Zenith Their",0.36
"Acme Effort",0.5
"NeoTech Society",0
"Harbor Itself",0.43
"Harbor Spring",0.42
"Pulse Real",0.5
"Solace High",0.42
"Everest Network",0.6
"Astra Idea",0.56
"GreenLeaf Company",0.33
"Nimbus Line",0.46
"NeoTech School",0.67
"Willow Beyond",0.5
"Solace Be",0.43
"Solace Official",0.67
"Acme Indeed",0.44
"NeoTech Nature",0.38
"Solace Foot",0.23
"NeoTech Not",0.29
"Orion Young",0.67
"Zenith Hotel",0.67
"Nimbus Check",0.36
"Everest Beautiful",0.38
"Solace Future",0.55
"Solace Surface",0.27
"Zenith What",0.55
"Nimbus List",0.38
"Everest Several",0.71
"Willow Very",0.6
"Zenith Town",0.75
"Zenith Glass",0.57
"GreenLeaf Various",0
"NeoTech Watch",0.8
"Harbor Few",0.5
"Willow Purpose",0.7
"Pulse Central",0.29
"Astra Clearly",0.25
"Everest Become",0.2
"Solace Star",0.55
"Orion Wrong",0.46
"GreenLeaf Century",0.78
"Acme Consumer",0.67
"Everest Easy",0.45
"Astra Democrat",0.5
"Zenith Along",0.33
"Orion Hit",0.42
"Willow Benefit",0.64
"GreenLeaf Wall",0.62
"Nimbus Attack",0.62
"Zenith Total",0.5
"Everest Example",0.38
"Solace Ten",0.38
"NeoTech Throw",0.6
"GreenLeaf Present",0.82
"GreenLeaf Into",0.29
"Harbor Professor",0
"Acme Keep",0.4
"Harbor Laugh",0.27
"GreenLeaf Save",0.5
"Harbor Enter",0.67
"Orion Begin",0.5
"NeoTech Late",0.8
"Pulse Look",0.5
"Willow Economy",0.57
"Willow At",0.4
"Willow Budget",0.33
"NeoTech Team",0.38
"Zenith Almost",0.8
"Acme Age",0.67
"Astra Key",0.17
"Solace Step",0.46
"NeoTech When",0.46
"Solace Risk",0.43
"NeoTech Cost",0.36
"Zenith Happy",0.5
"NeoTech Huge",0.71
"Nimbus South",0.44
"Willow Continue",0.1
"Harbor Follow",0.69
"NeoTech Throughout",0.71
"Willow Answer",0.2
"GreenLeaf Goal",0.2
"Harbor Strong",0.8
"Nimbus Lose",0.25
"GreenLeaf Approach",0.14
"NeoTech Democrat",0.5
"Nimbus Establish",0.57
"Acme Board",0.82
"Solace His",0.6
"Harbor Allow",0.29
"Pulse Fine",0.67
"GreenLeaf Able",0.69
"Zenith Into",0.42
"Harbor Investment",0.22
"Nimbus Night",0.38
"Solace Team",0.44
"Willow Local",0.62
"Everest Than",0
"Everest Run",0.33
"Pulse Degree",0.44
"Everest Million",0.62
"Acme Key",0.5
"NeoTech Market",0.6
"Everest Child",0.56
"Solace Who",0.71
"Solace Including",0.4
"Solace Six",0.5
"Astra Woman",0.6
"Willow Mouth",0.7
"Astra Plant",0.43
"Solace Social",0.43
"NeoTech Participant",0.33
"Astra Town",0.71
"NeoTech Building",0.3
"Pulse Physical",0.38
"NeoTech Into",0.14
"Pulse Treat",0.5
"Zenith Lawyer",0.36
"Acme Happy",0.75
"NeoTech Purpose",0.59
"Harbor Health",0.25
"Astra On",0.25
"Zenith Different",0.8
"NeoTech Who",0.42
"Pulse Still",0.53
"Harbor Whom",0.54
"Zenith Few",0.58
"NeoTech Second",0.56
"Orion Kitchen",0.45
"Everest Economic",0.25
"Zenith Great",0.7
"Acme Paper",0.22
"Nimbus Nice",0.69
"GreenLeaf Different",0.67
"Orion Upon",0.71
"Everest Century",0.7
"Orion Push",0.44
"Astra Type",0
"Nimbus Successful",0.71
"Willow Catch",0.43
"Pulse Chair",0.67
"Solace Even",0.5
"Willow Fill",0.4
"Willow At",0.62
"Harbor Return",0.45
"NeoTech Tend",0.42
"Astra Least",0.45
"Harbor Visit",0.67
"Astra Policy",0.67
"Zenith About",1
"Zenith Game",0.65
"Nimbus Himself",0.46
"Pulse Worker",0.5
"Harbor Medical",0.6
"Pulse True",0.6
"Acme Manage",0.43
"Harbor By",0.42
"NeoTech Rise",0.83
"Willow Back",0.42
"Nimbus Significant",0.43
"NeoTech Member",0.78
"Astra Marriage",0.8
"GreenLeaf High",0.5
"Willow Just",0.62
"Zenith Catch",0.3
"Astra Success",0.67
"Astra Family",0.6
"Harbor Return",0.43
"Orion Fact",0.88
"GreenLeaf No",0.5
"Orion Even",0.57
"Orion Western",0.44
"Harbor Wonder",0.86
"Nimbus Word",0.5
"Willow Old",0.8
"Orion Foot",0.33
"NeoTech Vote",0.36
"Orion Listen",0.14
"Solace Chance",0.5
"Willow Protect",0.57
"Solace Show",0.33
"Harbor Significant",0.42
"Willow Note",0.27
"GreenLeaf About",0.4
"Nimbus Black",0.25
"Pulse Manage",0.57
"Orion Idea",0.4
"Pulse Author",0.42
"Orion Season",0.33
"Willow Nation",0.67
"NeoTech Attack",0.6
"Acme President",0.5
"Harbor Several",0.62
"Astra Be",0.29
"Orion Pm",0.67
"Zenith Forget",0.75
"Willow Data",0.45
"Everest Modern",0.57
"Nimbus Table",0.62
"Pulse Yeah",0.8
"Orion Instead",0.44
"Everest Simple",0.3
"Astra Move",0.5
"Pulse Receive",0.55
"Orion City",0.58
"Solace Majority",0.14
"Acme Art",0.33
"Astra Shake",0.62
"GreenLeaf Tell",0.36
"Everest Response",0.27
"Pulse Money",0.75
"Zenith Economy",0.5
"Harbor Score",0
"Astra Leader",0.5
"Acme If",0.33
"Acme May",0.71
"Pulse Above",0.47
"Harbor Last",0.47
"Zenith Check",0.8
"Nimbus Who",0.64
"Solace Owner",0.83
"Harbor Art",0.8
"GreenLeaf Road",0.56
"GreenLeaf Move",0.47
"Orion Child",0.47
"Acme Those",0.75
"Harbor Gas",0.38
"Everest Whole",0.22
"Harbor Goal",0.54
"Willow Radio",0.6
"Harbor May",0.46
"Solace Billion",0.75
"Nimbus Nature",0.6
"GreenLeaf Painting",0.43
"Willow Rich",0.67
"Orion Consider",0.33
"Zenith Argue",0.5
"Orion Near",0.5
"Orion Down",0.8
"Pulse Eight",0.67
"Solace Peace",0.5
"Zenith Hour",0.57
"Willow Against",0.33
"Harbor Hospital",0.22
"Harbor Night",0.43
"Harbor Man",0.3
"NeoTech Must",0.5
"Harbor Almost",0.17
"Everest Try",0.31
"Zenith International",0.71
"Orion Final",0.71
"Nimbus Possible",0.67
"Willow Maintain",0.7
"Pulse Five",0.44
"Willow Indeed",0.56
"Willow Such",0.8
"Nimbus Process",0.67
"Nimbus Take",0.38
"Zenith North",0.33
"Solace Change",0.57
"Astra Page",0.2
"Astra Speak",0.62
"Harbor Picture",0.5
"Harbor Others",0.75
"GreenLeaf Reveal",0.2
"Willow Use",0.56
"Astra Support",0.33
"Acme Special",0.54
"GreenLeaf Interview",0.57
"Zenith Military",0.57
"Zenith Protect",0.54
"Solace Level",0.64
"Pulse Year",0.71
"Astra Free",0.46
"Willow Front",0
"Solace Possible",0.5
"Harbor Place",0.6
"Zenith Board",0.33
"Zenith Baby",0.67
"Zenith Together",0.5
"Harbor Reduce",0.36
"Harbor Necessary",0.78
"Astra Road",0.5
"NeoTech Husband",0.4
"Zenith Accept",0.3
"Nimbus Bad",0.29
"Solace We",0.57
"Acme Pass",0.55
"GreenLeaf Discover",0.64
"Orion Society",0.33
"Solace Bit",0.5
"Astra Yes",0.46
"NeoTech Process",0.38
"Astra Attorney",0.6
"Nimbus Interesting",0.6
"Willow Out",0.5
"Zenith Life",0.73
"GreenLeaf Reach",0.71
"Harbor Where",0.75
"Everest Several",0.5
"Zenith Gas",0.6
"Solace Part",0.67
"GreenLeaf Analysis",0.5
"Nimbus Start",0.33
"Everest Unit",0.67
"Everest Stop",0.62
"Acme Discuss",0.5
"Willow Cultural",0.5
"Harbor Reach",0.5
"Harbor Point",0.23
"Orion Short",0.29
"GreenLeaf Green",0.5
"Harbor Thousand",0.36
"NeoTech Stand",0.44
"Harbor Who",0.58
"Nimbus Whose",0.57
"Harbor Ever",0.73
"Pulse All",0.22
"NeoTech Finally",0.5
"GreenLeaf Without",0.43
"Harbor Several",0.86
"Everest Opportunity",0.33
"Orion Film",0.5
"Orion Interest",0.45
"Nimbus Stock",0.75
"Nimbus City",0.43
"Orion Pull",0.83
"Willow Full",0.89
"GreenLeaf Remember",0.5
"NeoTech Reason",0.75
"Acme Run",0.5
"NeoTech May",0.67
"Zenith Might",0.5
"Harbor Discover",0.46
"Nimbus Lawyer",1
"Zenith Pm",0.44
"Acme Thought",0.4
"Acme Democratic",0.71
"Nimbus When",0.5
"Harbor Property",0.6
"Harbor Opportunity",0.6
"GreenLeaf Indicate",0.5
"Solace Institution",0.58
"Orion Ten",0.3
"NeoTech Conference",0.62
"Harbor Sort",0.5
"Astra Such",0.4
"Orion Ahead",0.8
"NeoTech Also",0.33
"Harbor Population",0.67
"Acme Student",0.6
"Nimbus Sit",0.5
"Zenith Team",0.31
"GreenLeaf Just",0.27
"Zenith Break",0.6
"Acme He",0.6
"Astra All",0.43
"GreenLeaf Sea",0.39
"Astra Water",0.2
"Everest Child",0.7
"Harbor Pick",0.5
"Astra Cup",0.56
"Astra Brother",0.75
"Everest Since",0.54
"Harbor Financial",0.56
"Harbor Growth",0.5
"Willow Include",0.43
"Orion Second",0.6
"Nimbus Expert",0.2
"NeoTech Build",0.62
"Nimbus Place",0.45
"Willow Add",0.6
"NeoTech Eye",0.09
"Zenith Television",0.86
"Willow Recently",0.38
"Solace Bill",0.4
"Solace Hundred",0.3
"Acme Computer",0.7
"GreenLeaf Rule",0.33
"Harbor Production",0.22
"Orion Event",0.33
"GreenLeaf Billion",0.78
"Everest Deep",0.71
"Zenith Recently",0.6
"Orion International",0.5
"Solace Policy",0.33
"Pulse Skin",0.25
"Orion Save",0.67
"NeoTech Town",0.5
"Willow Know",0.3
"Nimbus Eat",0
"Harbor Decade",0.54
"Nimbus Bar",0.29
"Nimbus Guess",0
"Everest Movie",0.17
"Harbor Else",0.56
"Willow Choose",0.38
"Astra Early",0.64
"Orion Rate",1
"Nimbus Every",0.4
"Astra Fly",0.45
"Zenith Price",0.6
"GreenLeaf Card",0.65
"Orion Now",0.33
"GreenLeaf Medical",0.36
"Zenith Choice",0.12
"NeoTech Guess",0.25
"Orion Get",0.41
"NeoTech Whom",0.2
"Willow Executive",0
"Zenith Something",0.3
"Everest To",0.6
"Zenith Example",0.25
"NeoTech Mind",0.22
"Nimbus Key",0.57
"Nimbus Choice",0.5
"Pulse Eight",0.3
