product_name,category,product_id,product_count,rating,price
"Pulse Money",Electronics,P000519,38,4.07,769.71
"Everest Response",Clothing,P000762,37,3.87,185.46
"GreenLeaf Rule",Clothing,P001164,36,3.46,18.65
"Harbor Development",Toys,P001354,35,2.93,96.63
"Zenith Environmental",Groceries,P001239,35,3.79,15.79
"GreenLeaf Card","Pet Supplies",P000902,35,4.12,42.91
"Everest She",Books,P001001,35,2.79,25.73
"Zenith Stop","Pet Supplies",P000448,35,2.57,66.33
"Zenith School",Toys,P000007,35,2.61,81.17
"Orion Range",Sports,P000819,35,3.67,159.14
"GreenLeaf Save",Automotive,P000636,35,3.78,94.4
"Zenith Like",Books,P001488,34,3,46.59
"Willow Evening",Toys,P000027,34,2.7,61.59
"Zenith North",Beauty,P000760,34,4.88,20.41
"Zenith Soon",Sports,P000152,34,4.64,299.66
"Zenith Reduce",Books,P001244,34,4.53,25.57
"Acme Then",Clothing,P001772,34,4.07,20.18
"GreenLeaf Move","Home & Kitchen",P000265,34,4.52,163.19
"Everest Parent",Sports,P000650,33,4.24,235.46
"Orion Follow",Automotive,P001499,33,2.85,598.63
"GreenLeaf Major",Books,P001989,33,3.58,61.57
"Everest Family",Automotive,P000767,33,2.61,327.68
"NeoTech Ask","Pet Supplies",P000433,33,3.46,5.28
"Zenith Treatment",Toys,P000515,33,4.74,21.15
"NeoTech Throw",Electronics,P000509,33,3.75,538.42
"Pulse All",Automotive,P001208,33,4.83,600.89
"Everest Sell",Books,P000244,33,4.08,69.29
"Solace Team","Pet Supplies",P000133,33,4.21,25.97
"Solace Street",Beauty,P000248,33,2.51,40.54
"Everest All",Automotive,P001852,33,4.29,643.14
"Harbor National",Clothing,P000825,33,4.35,23.92
"GreenLeaf Eye",Sports,P001654,33,3.53,135.96
"Orion Fund",Beauty,P001466,33,3.29,104.54
"Harbor Wonder",Clothing,P001055,33,4.87,123.01
"Pulse Project","Pet Supplies",P000046,33,4.52,19.09
"Willow Treatment",Automotive,P001794,32,3.89,576.97
"Solace Bill",Beauty,P000251,32,2.71,64.82
"Harbor Opportunity",Books,P000395,32,3.65,56.04
"Astra Early",Books,P001348,32,3.58,54.01
"Solace At",Books,P001869,32,4.33,8.47
"NeoTech Able",Groceries,P000832,32,4.76,8.06
"Everest Fast",Toys,P001760,32,2.95,24.92
"Zenith Lawyer",Automotive,P001613,32,4.81,734.26
"Orion Mention",Books,P000740,32,2.66,73.39
"Willow Eye",Books,P001984,32,3.08,84.86
"Willow Break",Beauty,P001622,32,2.62,5.29
"Pulse Still","Pet Supplies",P001883,32,3.79,59.59
"Everest Now","Pet Supplies",P001489,32,3.23,40
"Solace Activity","Pet Supplies",P000788,32,4.03,95.98
"Solace Particular",Toys,P000077,32,3.91,27.21
"Nimbus Seven",Beauty,P000633,32,2.82,32.11
"Harbor Success",Sports,P001387,32,4.45,20.14
"Everest Beautiful",Toys,P000638,32,3.45,76.4
"Willow Never",Groceries,P001165,32,4.89,12.97
"Nimbus Hot",Toys,P000930,32,3.71,32.43
"Zenith Game",Toys,P000789,32,4.25,87.48
"GreenLeaf Item",Electronics,P000803,31,3.43,953.03
"Harbor Night",Clothing,P001002,31,3.68,209.1
"NeoTech When",Toys,P000006,31,3.2,18.61
"Zenith Foreign",Automotive,P000540,31,3.08,337.8
"Astra Significant","Pet Supplies",P000347,31,3.89,19.77
"Willow Amount",Beauty,P001850,31,3.7,129.49
"Harbor Bar",Toys,P000784,31,2.63,49.7
"Harbor Cost",Automotive,P000954,31,3.32,661.52
"Acme Type",Automotive,P001922,31,2.79,201.36
"NeoTech Purpose",Automotive,P001641,31,3.24,705.88
"Willow Mean",Sports,P001329,31,3.55,168.63
"GreenLeaf Push",Books,P001511,31,3.49,52.29
"Astra Season",Sports,P000293,31,3.34,122.71
"Acme Room",Sports,P000855,31,3.4,366.84
"GreenLeaf Throughout",Books,P000107,31,2.85,118.51
"Nimbus Small",Automotive,P001257,31,3.66,854.8
"Orion Enter",Clothing,P001092,31,3.08,20.74
"Orion Begin",Automotive,P001225,31,2.87,36.52
"NeoTech Certainly",Clothing,P000095,31,4.88,121.02
"Harbor Laugh",Beauty,P001767,31,4.73,254.74
"Nimbus Knowledge",Sports,P000512,31,4.22,101.36
"Willow A",Sports,P000629,31,3.12,210.39
"Willow Determine",Automotive,P000078,31,3.4,344.26
"NeoTech Civil",Toys,P001392,31,3.63,29.34
"Willow Beyond","Home & Kitchen",P000507,31,2.81,208.34
"Harbor Hear",Books,P001156,31,3.87,96.56
"Pulse Treat",Electronics,P000731,31,4.23,1236.42
"Astra Such","Pet Supplies",P001554,31,3.74,43.35
"NeoTech Guess",Automotive,P000758,31,4.54,236.7
"Orion Event",Groceries,P001773,31,3.21,12.34
"Zenith Into",Toys,P001713,31,4.17,37.8
"Acme Owner",Books,P000497,30,3.69,15.21
"Willow Site",Clothing,P000304,30,2.68,120.82
"Everest Religious","Home & Kitchen",P001722,30,3.51,80.1
"Acme South",Groceries,P000960,30,2.5,9.31
"Acme Behavior",Books,P000980,30,3.06,53.19
"Everest Republican","Pet Supplies",P001610,30,3.28,77.46
"Astra Act",Electronics,P001081,30,2.77,985.35
"NeoTech Eye","Pet Supplies",P000777,30,4.64,27.19
"Willow Hospital",Automotive,P001925,30,3.45,1340.76
"Nimbus Our","Pet Supplies",P001258,30,2.52,97.42
"Harbor Accept",Beauty,P001245,30,3.96,71.41
"Everest Choose",Electronics,P000035,30,4.63,438.46
"GreenLeaf Interview",Automotive,P000144,30,4.2,224.43
"Willow Week",Toys,P000074,30,4.52,40.24
"GreenLeaf No","Pet Supplies",P001215,30,4.48,59.93
"Solace Create",Clothing,P001614,30,2.92,97.47
"Everest Reality",Groceries,P001962,30,3.22,26.13
"Pulse Surface",Groceries,P000102,30,4.78,6.16
"Harbor Suggest","Pet Supplies",P000956,30,4.15,61.9
"Willow Purpose","Pet Supplies",P001766,30,3.51,64.22
"Pulse Look",Groceries,P001695,30,4.78,11.71
"Orion Guy",Toys,P000185,30,2.77,69.64
"Solace Guy",Clothing,P001826,30,4.34,117.72
"Astra Space","Home & Kitchen",P000918,30,4.11,98.55
"Solace So",Sports,P000955,30,2.84,226.85
"Harbor West",Sports,P000506,30,4.68,75.86
"Willow Sing",Groceries,P001112,30,2.93,22.26
"Solace Follow",Beauty,P000413,30,3.76,6.79
"GreenLeaf Action",Beauty,P001952,30,3.03,118.9
"Solace A","Home & Kitchen",P000018,30,3.06,47.18
"Orion Child","Pet Supplies",P001965,30,3.1,81.47
"GreenLeaf Reveal",Groceries,P000684,29,3.76,26.34
"Acme Road",Sports,P001940,29,2.78,115.22
"Solace Finish",Books,P000247,29,3.76,10.2
"Acme Wrong",Clothing,P001080,29,4.63,18.31
"Acme Democratic",Groceries,P001791,29,3.17,9
"GreenLeaf A",Electronics,P000908,29,3.31,462.76
"Pulse Fly",Groceries,P001981,29,3.32,9.92
"Everest Single",Clothing,P001639,29,3.94,253.6
"Solace Social","Home & Kitchen",P000380,29,2.57,148.33
"Acme Clear","Home & Kitchen",P000936,29,3.79,236.97
"Solace Most",Toys,P001309,29,4.32,52.93
"Zenith Behavior",Electronics,P000231,29,3.27,178.96
"Orion Strategy",Beauty,P001359,29,3.63,100.06
"Orion Season",Toys,P001230,29,2.69,12.46
"GreenLeaf Bar",Clothing,P000111,29,3.86,55.21
"Orion Kitchen",Books,P001842,29,4.12,29.1
"Zenith Might",Sports,P000233,29,2.64,173.94
"Pulse Six",Toys,P000649,29,3.7,27.91
"Harbor Thought",Toys,P001250,29,4.51,14.59
"Orion Indicate",Books,P000261,29,2.65,54.65
"Solace Easy",Beauty,P000178,29,4.74,145.19
"Harbor Natural","Home & Kitchen",P000172,29,2.53,53.8
"Zenith Now","Pet Supplies",P000939,29,3.87,42.57
"Nimbus Much",Sports,P001645,29,3.42,223.28
"Pulse Security",Electronics,P001036,29,4.86,1075.65
"NeoTech Democrat",Clothing,P001420,29,2.61,114.66
"Astra Likely",Automotive,P001078,29,3.9,687.51
"NeoTech Truth","Home & Kitchen",P001251,29,3.67,270.85
"Everest Almost",Beauty,P000484,29,4.89,104.34
"Solace Step",Beauty,P001746,29,4.14,32.16
"NeoTech Vote","Pet Supplies",P000287,29,3.12,69.34
"GreenLeaf Mr",Beauty,P001322,29,3.19,56.87
"Astra Reveal",Books,P001401,29,2.69,49.62
"Nimbus Attack",Beauty,P001543,29,3.65,147.11
"Solace Interesting",Beauty,P000104,29,2.97,40.38
"NeoTech Professor",Groceries,P000118,29,2.81,13.13
"Orion Pull",Sports,P001009,29,2.86,32.46
"Nimbus To",Sports,P000052,29,3.17,138.89
"Everest Truth",Beauty,P001516,29,3.57,104.12
"Orion Voice",Toys,P000861,29,3.54,81.52
"Zenith Fly","Pet Supplies",P001107,29,4.78,13.03
"Solace Personal",Beauty,P001334,29,3.49,156.31
"Everest Several","Home & Kitchen",P001585,29,3.37,45.55
"GreenLeaf They","Pet Supplies",P000011,29,2.77,2.99
"Acme Field",Beauty,P001644,29,2.51,157.79
"Nimbus Report",Beauty,P000824,29,4.8,83.11
"Orion Wrong",Automotive,P001353,29,3.14,631.36
"Nimbus Word",Sports,P001652,29,3.65,188.49
"Nimbus Little",Toys,P000210,29,4.19,253.94
"Zenith Discuss",Beauty,P001749,29,2.51,25.95
"Astra Daughter",Toys,P000621,29,4.63,7.92
"NeoTech Participant","Home & Kitchen",P001266,29,3.78,45.32
"NeoTech Despite",Sports,P001440,29,4.37,55.11
"Orion Face",Electronics,P000198,29,4.66,1352.63
"GreenLeaf Measure",Toys,P000721,29,3.74,52.92
"Zenith Military","Pet Supplies",P001796,29,4.68,45.72
"Zenith Pm",Clothing,P000737,29,4.32,92.23
"Nimbus Size",Books,P001844,29,2.99,70.23
"Harbor Cup",Groceries,P000947,29,2.99,18.37
"Harbor Think",Clothing,P000774,29,4.69,20.4
"Orion Second","Pet Supplies",P001344,28,2.72,103.47
"Willow Past","Home & Kitchen",P001139,28,4.71,264.04
"Astra Town",Books,P000164,28,2.81,60.85
"Nimbus Economic",Toys,P001492,28,4.85,119.02
"Zenith Friend",Books,P000587,28,3.92,15.87
"Willow Pressure","Home & Kitchen",P001379,28,4.04,61.86
"Solace Most",Groceries,P000263,28,3.47,12.76
"Zenith Along","Pet Supplies",P001524,28,2.6,29.67
"Nimbus Want",Toys,P001039,28,2.99,5.98
"Pulse Else",Books,P001586,28,3.27,9.81
"Zenith Stay",Beauty,P000428,28,3.11,135.76
"Zenith Few",Sports,P001839,28,4.13,180.71
"Orion Get",Automotive,P000820,28,2.51,974.16
"Willow Maintain","Pet Supplies",P001764,28,4.69,30.77
"Willow Message","Home & Kitchen",P001983,28,3.89,11.12
"Zenith Left",Beauty,P001454,28,4.07,178.76
"Astra Many","Pet Supplies",P001011,28,4.42,48.22
"Solace But",Toys,P001294,28,4.28,45.66
"Harbor May",Clothing,P001265,28,3.91,59.96
"Astra Hospital","Pet Supplies",P000479,28,3.78,92.17
"Willow Firm",Beauty,P001095,28,3.58,49.87
"Astra Five",Beauty,P001612,28,3.67,83.13
"Willow Property",Toys,P000496,28,2.86,100.66
"Astra Cell",Beauty,P001201,28,4.2,37.71
"Orion Firm",Groceries,P000084,28,4.44,4.51
"Solace Sound",Electronics,P001741,28,2.72,957.88
"Harbor Who",Beauty,P000462,28,3.41,142.59
"Harbor By",Groceries,P001093,28,3.86,21.91
"Nimbus Seven",Books,P000779,28,4.35,8.89
"Astra Great",Sports,P000443,28,4.87,61.6
"Orion Ten",Beauty,P001362,28,3.12,82.69
"Zenith Believe",Automotive,P001398,28,3.68,157.95
"Acme It",Clothing,P001647,28,3.17,118.8
"Nimbus Safe",Automotive,P001936,28,3.14,413.42
"NeoTech Score",Clothing,P001505,28,3.54,142.27
"Pulse Serious",Sports,P000216,28,4.86,295.05
"GreenLeaf Save","Pet Supplies",P001022,28,2.78,44.54
"Willow Out",Books,P000529,28,4.87,57.18
"GreenLeaf Just","Home & Kitchen",P001343,28,4.64,326.01
"Orion Hit",Clothing,P001283,28,3.04,187.33
"Zenith Thus",Automotive,P000237,28,2.97,191.89
"Willow Court",Beauty,P001040,28,4.13,22.15
"Astra Next",Toys,P000589,28,4.86,88.66
"NeoTech Attack","Home & Kitchen",P001172,28,3.63,179.46
"Orion Instead","Home & Kitchen",P000888,28,4.5,29.52
"Astra Where",Automotive,P000570,28,2.68,108.5
"Harbor Last",Electronics,P000218,28,2.93,234.99
"Everest Well",Books,P001315,28,3.39,16.45
"Nimbus Treat",Sports,P001576,28,4.64,51.04
"Nimbus Take",Automotive,P000384,28,2.69,596.56
"GreenLeaf Or",Automotive,P001206,27,4.08,531.53
"Everest Million",Sports,P000331,27,4.02,112.6
"Solace Move",Automotive,P000208,27,2.71,826.18
"Willow Nation","Pet Supplies",P000884,27,4.05,15.29
"Everest Beautiful",Sports,P001784,27,3.77,219.72
"Everest End",Toys,P000560,27,2.9,16.86
"NeoTech Late",Groceries,P001888,27,2.95,16.14
"Acme Subject",Automotive,P001870,27,3.16,383.26
"Astra Can",Groceries,P001195,27,3.01,16.88
"Willow Result","Pet Supplies",P000396,27,2.63,6.95
"Acme Theory",Groceries,P001769,27,3.51,18.76
"Nimbus Who",Books,P000492,27,4.07,36.16
"GreenLeaf Current",Automotive,P000950,27,2.55,654.76
"Nimbus Whose",Books,P000473,27,2.99,22.53
"NeoTech Power",Toys,P000042,27,4.49,36.95
"Pulse Street","Home & Kitchen",P001192,27,2.94,73.31
"Harbor Wrong",Sports,P001801,27,3.12,365.24
"Acme Coach",Groceries,P000390,27,3.79,24.1
"Zenith Without",Toys,P001293,27,3.3,9.53
"Pulse Above",Toys,P001837,27,3.13,72.87
"NeoTech Great","Pet Supplies",P001232,27,4.7,35.41
"Everest Try",Beauty,P000645,27,3.33,63.98
"GreenLeaf Interview",Clothing,P001326,27,4,61.39
"NeoTech School","Home & Kitchen",P001663,27,3.85,75.4
"Acme Wait","Pet Supplies",P001557,27,4.14,75.93
"NeoTech Tend",Clothing,P001810,27,3.48,61.15
"Everest Against",Toys,P000369,27,3.26,15.41
"Solace Foot",Beauty,P000285,27,3.48,12.79
"Astra Cost","Pet Supplies",P000677,27,3.85,17.6
"Orion Race",Automotive,P001822,27,3.57,492.48
"Acme Of",Electronics,P000555,27,2.52,1407.61
"Harbor Necessary",Books,P000501,27,4.41,65.31
"Nimbus Establish","Home & Kitchen",P000391,27,2.87,74.41
"Astra Strong",Beauty,P000655,27,2.99,195.39
"Astra Measure",Automotive,P001292,27,2.77,763.65
"Willow West",Books,P000367,27,3.68,38.32
"GreenLeaf Idea",Electronics,P000619,27,3.32,279.09
"Pulse Money",Beauty,P000311,27,4.69,110.72
"Nimbus Stay",Toys,P001907,27,3.84,34.96
"Zenith Form","Pet Supplies",P000705,27,3.32,62.05
"Solace Member",Sports,P001574,27,2.7,53.16
"Everest To","Pet Supplies",P001723,27,3.5,101.97
"Harbor Which","Home & Kitchen",P001070,27,3.22,152.24
"Willow Go","Pet Supplies",P001958,27,3.76,94.62
"Astra Deal",Toys,P001478,27,2.53,109.35
"GreenLeaf Company",Automotive,P000175,27,3.04,22.44
"Astra Least",Books,P000435,27,3.81,115.46
"GreenLeaf Happen",Groceries,P001063,27,3.06,27.14
"Zenith Whole",Toys,P000678,27,3.14,152.1
"Orion Page","Home & Kitchen",P001079,27,3.14,249.07
"Zenith Argue",Toys,P001311,27,3.49,46.89
"Orion Theory",Sports,P001367,27,3.44,283.47
"Nimbus Imagine","Home & Kitchen",P001034,27,2.78,15.62
"GreenLeaf System",Electronics,P001227,27,4.44,1260.68
"Acme Lead",Sports,P000105,27,3.91,146.49
"NeoTech Who","Home & Kitchen",P000842,27,3.9,239.55
"Pulse Author",Toys,P000816,27,4.26,56.6
"Nimbus Focus","Pet Supplies",P001806,27,4.4,54.34
"NeoTech Building","Pet Supplies",P000907,27,3.57,54.46
"Everest Fire",Clothing,P000422,27,4.37,257.15
"NeoTech These",Groceries,P001879,27,4.81,18.51
"NeoTech Security",Beauty,P000500,27,2.54,38.54
"Zenith Mr",Sports,P001688,27,4.51,59.25
"Pulse Sea","Pet Supplies",P001578,27,3.31,111.25
"Zenith Study",Books,P000646,27,4.09,19.76
"Pulse Bad","Pet Supplies",P000781,27,4.57,94.61
"Everest Church",Beauty,P001088,27,2.6,58.95
"NeoTech Style",Books,P001126,27,4.34,50.15
"Willow Local",Toys,P001841,27,3.05,58.53
"Solace Agree",Groceries,P001237,27,2.68,44.83
"Solace Lead",Electronics,P001493,27,3.1,992.56
"Willow Item",Automotive,P000053,27,4.55,100.81
"Nimbus Hit",Electronics,P001699,27,4.57,494.84
"Acme Idea",Sports,P001096,27,3.35,259.72
"Willow Just",Beauty,P001703,27,3.97,165.03
"Willow Attorney",Sports,P001118,27,3.75,96.96
"Nimbus Bad",Toys,P001275,27,2.56,77.34
"Willow Surface","Home & Kitchen",P001226,27,3.88,188.55
"Nimbus Minute",Beauty,P001119,26,3.62,74.08
"Nimbus Figure",Books,P001891,26,2.73,56.77
"Harbor Beat",Clothing,P001370,26,3.94,38.92
"Harbor Whom",Automotive,P001540,26,3.07,148.66
"Zenith Page","Home & Kitchen",P001990,26,4.13,431.12
"GreenLeaf Concern",Groceries,P000691,26,4.89,3.96
"Acme Improve",Toys,P000407,26,2.92,18.79
"Willow Reach",Electronics,P001173,26,4.7,815.47
"Willow At",Books,P000751,26,3.47,2.72
"Pulse Decision",Toys,P001565,26,4.5,50.01
"NeoTech Decide",Clothing,P000864,26,3.48,168.44
"Astra Speak","Pet Supplies",P000534,26,4.49,19.24
"Everest Real",Clothing,P000775,26,3.82,69.1
"Willow Benefit",Electronics,P001611,26,2.86,1028.88
"Pulse For","Pet Supplies",P000662,26,2.88,71.4
"Pulse Understand",Sports,P000545,26,3.04,55.49
"Astra Benefit",Clothing,P001430,26,3.29,41.44
"Astra Lose",Beauty,P000417,26,4.27,218.42
"Zenith Certainly",Books,P001418,26,2.92,3.45
"GreenLeaf Bill",Clothing,P001424,26,4.72,85.29
"Pulse Against",Sports,P001920,26,4.05,175.83
"Acme Effort",Groceries,P000876,26,2.85,20.23
"Astra On",Clothing,P001525,26,3.82,134.22
"Harbor Art",Beauty,P000829,26,2.69,111.06
"Astra Yes",Automotive,P001018,26,3.8,80.56
"Solace Risk","Home & Kitchen",P000227,26,3.47,238.61
"GreenLeaf Side","Home & Kitchen",P000610,26,2.55,101.29
"Astra Son",Sports,P001097,26,3.56,223.08
"Solace Particular","Home & Kitchen",P001745,26,4.83,157.71
"Solace Think",Beauty,P000440,26,4.86,10.76
"NeoTech Body",Sports,P000968,26,3.03,133.34
"Orion Treat",Automotive,P000256,26,4,664.92
"Nimbus Where",Automotive,P000149,26,4.5,323.14
"Solace Never",Electronics,P001000,26,4.2,443.67
"GreenLeaf Tell","Home & Kitchen",P001752,26,3.26,412.8
"Zenith Recently",Automotive,P000294,26,3.48,543.31
"Nimbus Military",Sports,P001991,26,3.57,178.96
"Acme Popular",Beauty,P001349,26,2.99,84.98
"Nimbus Nice",Groceries,P000889,26,4.56,9.1
"Willow Executive",Electronics,P001701,26,4.66,513.32
"Zenith Sign",Beauty,P001291,26,3.55,56.18
"Willow Him","Home & Kitchen",P000145,26,4.77,219.69
"Zenith Life",Groceries,P000340,26,2.7,20.74
"Solace People","Home & Kitchen",P001825,26,4.12,203.57
"Nimbus These",Clothing,P000838,26,2.85,57.65
"NeoTech Leader",Automotive,P001458,26,4.44,29.08
"Acme Traditional",Clothing,P000821,26,4.44,166.22
"Astra Might",Toys,P001665,26,4.3,76.59
"Solace Ten",Sports,P000094,26,3.6,41.49
"Nimbus When",Books,P001158,26,3.69,18.38
"NeoTech Agent","Pet Supplies",P000982,26,4.31,64.46
"Harbor Financial",Sports,P000350,26,4.69,241.98
"NeoTech Well",Beauty,P000255,26,4.18,71.91
"NeoTech Someone",Groceries,P000002,26,3.87,21.46
"Astra Last","Pet Supplies",P000932,26,3.26,96.95
"NeoTech Movement","Home & Kitchen",P000179,26,3.28,172.42
"Acme Off",Electronics,P000965,26,3.93,295.84
"GreenLeaf Opportunity",Clothing,P000446,26,3.24,68.43
"Zenith History",Books,P000549,26,4.72,56.44
"Harbor Since",Automotive,P000141,26,3.41,332.57
"Willow Cell",Books,P000827,26,4.29,52.53
"Everest Late",Clothing,P001860,26,3.46,86.67
"Everest Show",Toys,P000765,26,3.35,114.03
"Solace Institution",Clothing,P001590,26,2.81,11.57
"Orion Upon","Home & Kitchen",P000180,26,3.42,400.2
"Orion Even","Home & Kitchen",P000694,26,2.75,318.23
"Zenith Economy",Electronics,P000051,26,3.23,840.01
"Solace Top","Pet Supplies",P001460,26,4.81,46.12
"NeoTech Customer",Clothing,P001052,26,3.9,196.49
"Solace Across",Clothing,P000941,26,3.23,25.1
"NeoTech Hair","Pet Supplies",P001330,26,4.42,65.37
"Harbor Ability",Sports,P001177,26,2.53,107.38
"Willow If","Pet Supplies",P000356,26,2.69,67.94
"NeoTech Possible",Toys,P000044,26,2.7,53.51
"Zenith Happy",Electronics,P001462,26,3.58,951.69
"Acme If",Electronics,P001050,26,3.16,598.07
"GreenLeaf Present",Clothing,P001517,26,4.04,233.7
"Astra Write",Groceries,P001474,26,4.39,11.31
"Orion Film",Books,P001358,26,2.84,54.48
"Solace Evening",Books,P001381,26,4.51,43.13
"Orion Number",Electronics,P001143,26,3.7,1338.53
"Astra Success",Beauty,P001970,26,4.48,136.74
"Harbor Growth",Toys,P001890,26,4,83.34
"Solace Surface",Toys,P001923,26,3.16,38.31
"Pulse Eight",Groceries,P000063,26,3.33,18.77
"GreenLeaf East",Beauty,P001477,26,3.3,25.96
"Nimbus Condition",Toys,P000780,26,2.56,42.19
"GreenLeaf Painting",Beauty,P000332,26,4.55,33.02
"Zenith While",Groceries,P000199,26,4.19,10.35
"Nimbus Place",Electronics,P001475,26,3.93,651.6
"Willow Know",Automotive,P001579,26,3.25,124.87
"NeoTech Anything",Toys,P000434,26,3.36,52.83
"Willow Add",Automotive,P001260,26,4.77,337.06
"Harbor Much",Sports,P000764,26,2.9,226.24
"Willow Rich",Electronics,P001220,26,4.79,697.76
"Astra Moment",Toys,P001298,26,4.87,92.91
